"Location Name Modern","Latitude","Longitude","Number of correspondents who wrote from this location letters to Pirckheimer"
"Nuremberg","49.45421","11.07752","39"
"Augsburg","48.37154","10.89851","31"
"Leipzig","51.33962","12.37129","18"
"Bamberg","49.89873","10.90067","10"
"Eichstätt","48.88854","11.19675","9"
"Innsbruck","47.26266","11.39454","8"
"Wittenberg","51.8661","12.64973","8"
"Bergen Abbey","48.7842","11.1421","6"
"Bologna","44.49381","11.33875","6"
"Basel","47.5584","7.57327","5"
"Erfurt","50.9787","11.03283","5"
"Stuttgart","48.78232","9.17702","5"
"Venice","45.43713","12.33265","5"
"Vienna","48.20849","16.37208","5"
"Burgos","42.35022","-3.67527","4"
"Donauwörth","48.71804","10.7793","4"
"Ingolstadt","48.76508","11.42372","4"
"Cologne","50.93333","6.95","4"
"Pavia","45.19205","9.15917","4"
"Rome","41.89193","12.51133","4"
"Würzburg","49.79391","9.95121","4"
"Frankfurt am Main","50.11552","8.68417","3"
"Freiburg im Breisgau","47.9959","7.85222","3"
"Mainz","49.98419","8.2791","3"
"Milan","45.46427","9.18951","3"
"Nördlingen","48.85122","10.48868","3"
"Klarissenkloster St. Klara","49.4486","11.0794","3"
"Regensburg","49.01513","12.10161","3"
"Strasbourg","48.58342","7.74296","3"
"Ulm","48.39841","9.99155","3"
"Valladolid","41.65518","-4.72372","3"
"Amberg","49.44287","11.86267","2"
"Ansbach","49.30481","10.5931","2"
"Blois","47.58333","1.33333","2"
"Chiateoscutella","NULL","NULL","2"
"Esslingen am Neckar","48.73961","9.30473","2"
"Granada","37.18817","-3.60667","2"
"Haguenau","48.81557","7.79051","2"
"Hollfeld","49.93793","11.29153","2"
"Kitzingen","49.73973","10.15072","2"
"Kollegiatstift St. Viktor","49.982778","8.303056","2"
"Langenburg","49.25401","9.85673","2"
"Munich","48.13743","11.57549","2"
"Neuburg an der Donau","48.73218","11.18709","2"
"Passau","48.5665","13.43122","2"
"Schwäbisch Hall","49.11127","9.73908","2"
"Sélestat","48.26667","7.45","2"
"Seville","37.38283","-5.97317","2"
"Toledo","39.8581","-4.02263","2"
"Tübingen","48.52266","9.05222","2"
"Wertheim am Main","49.759","9.50852","2"
"Altenburg","50.98763","12.43684","1"
"Antwerp","51.21989","4.40346","1"
"Aschaffenburg","49.97704","9.15214","1"
"Baden bei Wien","48.00543","16.23264","1"
"Bad Tölz","47.76111","11.5589","1"
"Beaune","47.03333","4.83333","1"
"Bolzano","46.49067","11.33982","1"
"Dachsbach","49.64051","10.70652","1"
"Dresden","51.05089","13.73832","1"
"Burg Ebernburg","49.807044","7.838608","1"
"Feldkirch","47.23306","9.6","1"
"Feldlager bei Herrenberg","48.59523","8.86648","1"
"Ferrara","44.84346","11.60868","1"
"Florence","43.77925","11.24626","1"
"Forchheim","49.71754","11.05877","1"
"Freiberg","50.91089","13.33881","1"
"Fürth","49.47593","10.98856","1"
"Garmisch-Partenkirchen","47.49209","11.09576","1"
"Geisenfeld Abbey","48.6833","11.6135","1"
"Geneva","46.20222","6.14569","1"
"Gmunden","47.91839","13.79933","1"
"Göppingen","48.70354","9.65209","1"
"Graz","47.06667","15.45","1"
"Hall in Tirol","47.28333","11.51667","1"
"Herford","52.11457","8.67343","1"
"Hilpoltstein","49.19047","11.1906","1"
"Jena","50.92878","11.5899","1"
"Kalbensteinberg","49.17645","10.84607","1"
"Kirchehrenbach","49.73333","11.15","1"
"Kloster Georgenthal","50.828889","10.659167","1"
"Königstein","49.60854","11.63143","1"
"Kornburg","49.35521","11.09885","1"
"Landau in der Pfalz","49.19844","8.11692","1"
"Lauf an der Pegnitz","49.51386","11.28247","1"
"Leuven","50.87959","4.70093","1"
"Lichtenau","49.27746","10.68674","1"
"Linz","48.30639","14.28611","1"
"Marienburg Abbey","49.235","10.965278","1"
"Marienstein Abbey","48.893","11.163","1"
"Mirandola","44.88515","11.06902","1"
"Monastery Rebdorf","48.8881","11.1676","1"
"Neuenstein","49.2049","9.58","1"
"Neumarkt in der Oberpfalz","49.28028","11.46278","1"
"Katharinenkloster Nürnberg","49.451667","11.081944","1"
"Oleśnica","51.21338","17.38986","1"
"Orléans","47.90289","1.90389","1"
"Padua","45.40797","11.88586","1"
"Palencia","42.00955","-4.52406","1"
"Pamplona","42.81687","-1.64323","1"
"Pillenreuth Abbey","49.3792","11.0781","1"
"Prague","50.08804","14.42076","1"
"Ravensburg","47.78198","9.61062","1"
"Roding","49.19426","12.51956","1"
"Salzburg","47.79941","13.04399","1"
"Schloss Münchsdorf","48.588261","12.903188","1"
"Schloss Schillingsfürst","49.289997","10.257241","1"
"Schloss Schwarzenberg (Scheinfeld)","49.671848","10.473292","1"
"Schloß Schwarzenburg","49.354251","12.490547","1"
"Siena","43.31822","11.33064","1"
"Solothurn","47.20791","7.53714","1"
"Torgau","51.56016","12.99617","1"
"Toulouse","43.60426","1.44367","1"
"Tours","47.38333","0.68333","1"
"Trento","46.06787","11.12108","1"
"Waischenfeld","49.84645","11.3481","1"
"Weil der Stadt","48.74953","8.87176","1"
"Weinsberg","49.15127","9.28762","1"
"Weißenburg in Bayern","49.03095","10.97221","1"
"Wiener Neustadt","47.8","16.25","1"
"Wiesensteig","48.56127","9.6254","1"
"Wildberg","48.62336","8.74518","1"
"Wroclaw","51.1","17.03333","1"
"Zeil","50.00986","10.5947","1"
"Zürich","47.36667","8.55","1"
