"Id","Label","locations_modern_state","locations_modern_province","Latitude","Longitude","locations_ll_combined"
"amboise_FR_gid_3037902","Amboise","France","Centre-Val de Loire","47.41249","0.98266","47.41249, 0.98266"
"anderlecht_BE_gid_2803201","Anderlecht","Belgium","Brussels Capital","50.83619","4.31454","50.83619, 4.31454"
"angoulême_FR_gid_3037598","Angoulême","France","Nouvelle-Aquitaine","45.65","0.15","45.65, 0.15"
"antwerpen_BE_gid_2803138","Antwerp","Belgium","Flanders","51.21989","4.40346","51.21989, 4.40346"
"aschaffenburg_DE_gid_2955272","Aschaffenburg","Germany","Bavaria","49.97704","9.15214","49.97704, 9.15214"
"avignon_FR_gid_3035681","Avignon","France","Provence-Alpes-Côte d'Azur","43.94834","4.80892","43.94834, 4.80892"
"basel_CH_gid_2661604","Basel","Switzerland","Basel-City","47.5584","7.57327","47.5584, 7.57327"
"blois_FR_gid_3032213","Blois","France","Centre-Val de Loire","47.58333","1.33333","47.58333, 1.33333"
"bourges_FR_gid_3031005","Bourges","France","Centre-Val de Loire","47.08333","2.4","47.08333, 2.4"
"brugge_BE_gid_2800931","Bruges","Belgium","Flanders","51.20892","3.22424","51.20892, 3.22424"
"brussels_BE_gid_2800866","Brussels","Belgium","Brussels Capital","50.85045","4.34878","50.85045, 4.34878"
"calais_FR_gid_3029162","Calais","France","Hauts-de-France","50.95194","1.85635","50.95194, 1.85635"
"cambrai_FR_gid_3029030","Cambrai","France","Hauts-de-France","50.16667","3.23333","50.16667, 3.23333"
"cambridge_GB_gid_2653941","Cambridge","United Kingdom","England","52.2","0.11667","52.2, 0.11667"
"canterbury_GB_gid_2653877","Canterbury","United Kingdom","England","51.27904","1.07992","51.27904, 1.07992"
"carpentras_FR_gid_3028542","Carpentras","France","Provence-Alpes-Côte d'Azur","44.05","5.05","44.05, 5.05"
"chelsea_GB_gid_2653265","Chelsea","United Kingdom","England","51.48755","-0.16936","51.48755, -0.16936"
"dijon_FR_gid_3021372","Dijon","France","Bourgogne-Franche-Comté","47.31667","5.01667","47.31667, 5.01667"
"dresden_DE_gid_2935022","Dresden","Germany","Saxony","51.05089","13.73832","51.05089, 13.73832"
"frankfurt_am_main_DE_gid_2925533","Frankfurt am Main","Germany","Hesse","50.11552","8.68417","50.11552, 8.68417"
"freiburg_DE_gid_2925177","Freiburg im Breisgau","Germany","Baden-Wurttemberg","47.9959","7.85222","47.9959, 7.85222"
"gentilly_FR_gid_3016292","Gentilly","France","Île-de-France","48.81294","2.3417","48.81294, 2.3417"
"gent_BE_gid_2797656","Ghent","Belgium","Flanders","51.05","3.71667","51.05, 3.71667"
"greenwich_GB_gid_2647937","Greenwich","United Kingdom","England","51.47785","-0.01176","51.47785, -0.01176"
"heidelberg_DE_gid_2907911","Heidelberg","Germany","Baden-Wurttemberg","49.40768","8.69079","49.40768, 8.69079"
"köln_DE_gid_2886242","Cologne","Germany","North-Rhine-Westphalia","50.93333","6.95","50.93333, 6.95"
"konstanz_DE_gid_2885679","Konstanz","Germany","Baden-Wurttemberg","47.66033","9.17582","47.66033, 9.17582"
"leuven_BE_gid_2792482","Leuven","Belgium","Flanders","50.87959","4.70093","50.87959, 4.70093"
"liège_BE_gid_2792413","Liège","Belgium","Wallonia","50.63373","5.56749","50.63373, 5.56749"
"london_GB_gid_2643743","London","United Kingdom","England","51.50853","-0.12574","51.50853, -0.12574"
"lyon_FR_gid_2996944","Lyon","France","Auvergne-Rhône-Alpes","45.74846","4.84671","45.74846, 4.84671"
"mainz_DE_gid_2874225","Mainz","Germany","Rheinland-Pfalz","49.98419","8.2791","49.98419, 8.2791"
"marly_la_ville_FR_gid_2995653","Marly-la-Ville","France","Île-de-France","49.08201","2.50347","49.08201, 2.50347"
"mechelen_BE_gid_2791537","Mechelen","Belgium","Flanders","51.02574","4.47762","51.02574, 4.47762"
"middelburg_NL_gid_2750896","Middelburg","Netherlands","Zeeland","51.5","3.61389","51.5, 3.61389"
"milano_IT_gid_3173435","Milan","Italy","Lombardy","45.46427","9.18951","45.46427, 9.18951"
"montpellier_FR_gid_2992166","Montpellier","France","Occitanie","43.61092","3.87723","43.61092, 3.87723"
