"Location Name"	"Latitude"	"Longitude"	"Number of correspondents Pirckheimer writes to"	"Number of letters written by Pirckheimer"	"Average Number of Letters"
"Köln"	"50.93333"	"6.95"	"1"	"9"	"9.0000"
"Unknown Location in Italy"	NULL	NULL	"1"	"7"	"7.0000"
"Stuttgart"	"48.78232"	"9.17702"	"1"	"6"	"6.0000"
"Bamberg"	"49.89873"	"10.90067"	"6"	"33"	"5.5000"
"Dresden"	"51.05089"	"13.73832"	"1"	"5"	"5.0000"
"Monastery Rebdorf"	"48.888103"	"11.167556"	"1"	"5"	"5.0000"
"Basel"	"47.5584"	"7.57327"	"4"	"17"	"4.2500"
"Nürnberg"	"49.45421"	"11.07752"	"15"	"47"	"3.1333"
"Augsburg"	"48.37154"	"10.89851"	"7"	"21"	"3.0000"
"Ravensburg"	"47.78198"	"9.61062"	"1"	"3"	"3.0000"
"Antwerpen"	"51.21989"	"4.40346"	"1"	"3"	"3.0000"
"Klarissenkloster St. Klara"	"49.448611"	"11.079444"	"4"	"11"	"2.7500"
"Wittenberg"	"51.8661"	"12.64973"	"3"	"7"	"2.3333"
"Vienna"	"48.20849"	"16.37208"	"3"	"7"	"2.3333"
"Unknown Location"	NULL	NULL	"24"	"53"	"2.2083"
"Geisenfeld Abbey"	"48.683256"	"11.613472"	"2"	"4"	"2.0000"
"Arberg"	"49.14428"	"10.61722"	"1"	"2"	"2.0000"
"Eichstätt"	"48.88854"	"11.19675"	"1"	"2"	"2.0000"
"Bressanone"	"46.71503"	"11.65598"	"1"	"2"	"2.0000"
"Weinsberg"	"49.15127"	"9.28762"	"1"	"2"	"2.0000"
"Leuven"	"50.87959"	"4.70093"	"1"	"2"	"2.0000"
"Mirandola"	"44.88515"	"11.06902"	"1"	"2"	"2.0000"
"Altenburg"	"50.98763"	"12.43684"	"1"	"2"	"2.0000"
"Monastery Schamhaupten"	"48.91497"	"11.59863"	"1"	"2"	"2.0000"
"Leipzig"	"51.33962"	"12.37129"	"4"	"7"	"1.7500"
"Strasbourg"	"48.58342"	"7.74296"	"4"	"6"	"1.5000"
"Sélestat"	"48.26667"	"7.45"	"2"	"3"	"1.5000"
"Heidelberg"	"49.40768"	"8.69079"	"3"	"4"	"1.3333"
"Rome"	"41.89193"	"12.51133"	"4"	"5"	"1.2500"
"Bergen Abbey"	"48.73218"	"11.18709"	"4"	"5"	"1.2500"
"Bologna"	"44.49381"	"11.33875"	"4"	"5"	"1.2500"
"Ingolstadt"	"48.76508"	"11.42372"	"3"	"3"	"1.0000"
"Mainz"	"49.98419"	"8.2791"	"3"	"3"	"1.0000"
"Freiburg"	"47.9959"	"7.85222"	"2"	"2"	"1.0000"
"Tübingen"	"48.52266"	"9.05222"	"2"	"2"	"1.0000"
"Neustadt an der Aisch"	"49.57953"	"10.61126"	"1"	"1"	"1.0000"
"Ferrara"	"44.84346"	"11.60868"	"1"	"1"	"1.0000"
"Herford"	"52.11457"	"8.67343"	"1"	"1"	"1.0000"
"Neuenstein"	"49.2049"	"9.58"	"1"	"1"	"1.0000"
"Frankfurt am Main"	"50.11552"	"8.68417"	"1"	"1"	"1.0000"
"Venice"	"45.43713"	"12.33265"	"1"	"1"	"1.0000"
"Bad Windsheim"	"49.50274"	"10.41539"	"1"	"1"	"1.0000"
"Speyer"	"49.32083"	"8.43111"	"1"	"1"	"1.0000"
"Ansbach"	"49.30481"	"10.5931"	"1"	"1"	"1.0000"
"Erfurt"	"50.9787"	"11.03283"	"1"	"1"	"1.0000"
"Laufenburg"	"47.56512"	"8.06045"	"1"	"1"	"1.0000"
"Kaisheim"	"48.76751"	"10.79639"	"1"	"1"	"1.0000"
