"Location Name","Number of letters sent to this location"
"Paris","78"
"Leuven","19"
"Basel","8"
"London","8"
"Fontenay-le-Comte","6"
"Rome","5"
"Romorantin-Lanthenay","4"
"Bourges","3"
"Brussels","3"
"Padua","3"
"Venice","2"
"Antwerp","2"
"Rodez","2"
"Orléans","2"
"Milan","2"
"Marly-la-Ville","2"
"Cologne","1"
"Genoa","1"
"Mechelen","1"
"Freiburg im Breisgau","1"
"Noyon","1"
"Frankfurt am Main","1"
"Palace of Fontainebleau","1"
"Florence","1"
"Carpentras","1"
"Cambridge","1"
"Blois","1"
"Rouen","1"
"Saint Gallen","1"
"Toulouse","1"
"Troyes","1"
"Avignon","1"
