"Location Name Modern","Latitude","Longitude","Number of correspondents who received at this location letters from Budé"
"Paris","48.85341","2.3488","16"
"Leuven","50.87959","4.70093","4"
"Venice","45.43713","12.33265","3"
"Rome","41.89193","12.51133","3"
"Padua","45.40797","11.88586","3"
"London","51.50853","-0.12574","3"
"Fontenay-le-Comte","46.46667","-0.81667","2"
"Antwerp","51.21989","4.40346","2"
"Bourges","47.08333","2.4","2"
"Basel","47.5584","7.57327","2"
"Milan","45.46427","9.18951","2"
"Orléans","47.90289","1.90389","2"
"Abbaye Saint-Vincent du Mans","48.0125","0.203611","1"
"Cambridge","52.2","0.11667","1"
"Troyes","48.3","4.08333","1"
"Toulouse","43.60426","1.44367","1"
"Saint Gallen","47.42391","9.37477","1"
"Rouen","49.44313","1.09932","1"
"Rodez","44.35258","2.57338","1"
"Avignon","43.94834","4.80892","1"
"Noyon","49.58333","3","1"
"Mechelen","51.02574","4.47762","1"
"Brussels","50.85045","4.34878","1"
"Cologne","50.93333","6.95","1"
"Genoa","44.4264","8.91519","1"
"Freiburg im Breisgau","47.9959","7.85222","1"
"Frankfurt am Main","50.11552","8.68417","1"
"Palace of Fontainebleau","48.40222","2.70056","1"
"Florence","43.77925","11.24626","1"
"Carpentras","44.05","5.05","1"
