"Location Name Modern","Latitude","Longitude","Number of letters sent to this location by Erasmus to mutual correspondents of his and Budé (excl. Budé)"
"Paris","48.85341","2.3488","48"
"London","51.50853","-0.12574","22"
"Unknown Location","0","0","14"
"Brugge","51.20892","3.22424","10"
"Freiburg","47.9959","7.85222","10"
"Greenwich","51.47785","-0.01176","7"
"Padova","45.40797","11.88586","6"
"Venice","45.43713","12.33265","6"
"Dresden","51.05089","13.73832","5"
"Carpentras","44.05","5.05","5"
"Oxford","51.75222","-1.25596","3"
"Gentilly","48.81294","2.3417","3"
"Avignon","43.94834","4.80892","3"
"Rome","41.89193","12.51133","3"
"Middelburg","51.5","3.61389","2"
"Milano","45.46427","9.18951","2"
"Bourges","47.08333","2.4","2"
"Blois","47.58333","1.33333","2"
"Vic-sur-Seille","48.78204","6.53081","1"
"Cambridge","52.2","0.11667","1"
"Angoulême","45.65","0.15","1"
"Cambrai","50.16667","3.23333","1"
"Mainz","49.98419","8.2791","1"
"Leuven","50.87959","4.70093","1"
"Calais","50.95194","1.85635","1"
"Köln","50.93333","6.95","1"
"Unknown Location in France","0","0","1"
"Gent","51.05","3.71667","1"
"Liège","50.63373","5.56749","1"
